order_id,customer_id,order_date,order_status,shipping_cost
1,CUST320,2026-04-03,Delivered,113.15
2,CUST945,2025-11-30,Returned,113.92
3,CUST234,2025-08-17,Returned,140.65
4,CUST124,2026-05-03,Returned,177.57
5,CUST707,2025-06-17,Cancelled,60.98
6,CUST991,2025-07-12,Cancelled,139.87
7,CUST263,2026-05-11,Returned,39.54
8,CUST342,2025-12-01,Cancelled,87.76
9,CUST778,2026-03-04,Returned,161.41
10,CUST548,2025-06-09,Returned,45.34
11,CUST281,2025-07-21,Cancelled,128.37
12,CUST810,2025-09-01,Returned,69.7
13,CUST704,2026-03-25,Returned,144.69
14,CUST333,2025-05-15,Returned,152.52
15,CUST546,2026-04-08,Cancelled,70.59
16,CUST365,2025-08-30,Cancelled,121.94
17,CUST409,2026-05-03,Cancelled,130.64
18,CUST272,2025-12-20,Delivered,162.22
19,CUST536,2025-10-27,Returned,72.64
20,CUST537,2025-10-26,Delivered,42.46
21,CUST584,2026-05-04,Cancelled,137.46
22,CUST8,2026-03-22,Cancelled,169.46
23,CUST6,2025-06-07,Returned,96.22
24,CUST133,2025-09-08,Delivered,42.23
25,CUST268,2026-03-21,Cancelled,115.33
26,CUST791,2025-12-13,Returned,86.55
27,CUST196,2025-08-02,Returned,101.28
28,CUST895,2026-05-03,Cancelled,68.87
29,CUST201,2026-04-29,Delivered,136.65
30,CUST871,2026-03-05,Returned,71.7
31,CUST611,2025-10-02,Cancelled,60.26
32,CUST745,2026-01-17,Returned,169.09
33,CUST524,2025-08-08,Returned,130.22
34,CUST918,2025-10-10,Returned,144.85
35,CUST584,2025-06-03,Cancelled,86.39
36,CUST893,2025-06-24,Cancelled,155.86
37,CUST112,2026-02-23,Cancelled,157.42
38,CUST530,2025-12-09,Returned,126.72
39,CUST607,2025-06-11,Returned,110.57
40,CUST329,2025-07-13,Cancelled,163.94
41,CUST573,2025-08-04,Delivered,108.84
42,CUST610,2025-10-28,Delivered,197.43
43,CUST635,2025-05-24,Cancelled,46.44
44,CUST280,2025-09-05,Cancelled,137.61
45,CUST931,2026-03-11,Delivered,38.55
46,CUST607,2025-10-23,Delivered,112.94
47,CUST49,2026-03-14,Delivered,170.0
48,CUST494,2026-01-12,Delivered,165.94
49,CUST701,2026-02-20,Cancelled,199.51
50,CUST862,2025-08-12,Cancelled,112.67
51,CUST659,2026-03-28,Returned,80.26
52,CUST425,2025-11-29,Cancelled,53.09
53,CUST58,2026-04-21,Delivered,125.7
54,CUST44,2025-12-07,Delivered,154.01
55,CUST62,2026-04-14,Delivered,36.93
56,CUST248,2025-09-16,Delivered,69.41
57,CUST419,2026-04-04,Delivered,142.68
58,CUST595,2026-03-10,Cancelled,51.52
59,CUST498,2025-06-17,Cancelled,64.85
60,CUST841,2026-01-21,Delivered,54.17
61,CUST776,2025-12-12,Cancelled,68.62
62,CUST931,2025-09-21,Cancelled,22.58
63,CUST804,2025-09-17,Delivered,137.35
64,CUST912,2026-03-19,Returned,138.34
65,CUST764,2025-07-18,Delivered,159.82
66,CUST445,2025-10-15,Cancelled,91.5
67,CUST50,2025-07-15,Cancelled,136.23
68,CUST813,2025-09-13,Delivered,39.28
69,CUST991,2025-09-07,Returned,58.32
70,CUST732,2026-04-24,Delivered,36.56
71,CUST374,2026-03-05,Delivered,136.95
72,CUST186,2026-01-15,Delivered,158.94
