order_id,payment_method,payment_amount
1,COD,3684.67
2,Card,4215.635
3,UPI,7875.42
4,UPI,10492.065
5,Card,0.0
6,UPI,0.0
7,COD,1502.995
8,UPI,0.0
9,Card,8866.895
10,Net Banking,3691.85
11,Net Banking,0.0
12,COD,12219.015
13,COD,15230.495
14,UPI,5028.145
15,COD,0.0
16,COD,0.0
17,COD,0.0
18,COD,23238.43
19,UPI,11625.595
20,UPI,21471.84
21,Card,0.0
22,UPI,0.0
23,COD,6410.469999999999
24,Card,18395.21
25,COD,0.0
26,UPI,6595.005
27,COD,10478.3
28,UPI,0.0
29,COD,18296.94
30,UPI,10531.59
31,COD,0.0
32,Card,2374.955
33,Net Banking,4304.22
34,Net Banking,4941.44
35,UPI,0.0
36,UPI,0.0
37,Card,0.0
38,COD,15125.785
39,Net Banking,7918.179999999999
40,COD,0.0
41,UPI,19647.74
42,Card,10253.01
43,UPI,0.0
44,COD,0.0
45,Card,9211.67
46,Card,14057.119999999999
47,Card,37904.880000000005
48,Net Banking,2379.87
49,Net Banking,0.0
50,UPI,0.0
51,COD,5739.280000000001
52,Card,0.0
53,Net Banking,28221.41
54,Net Banking,6309.11
55,Card,1565.01
56,Net Banking,20949.97
57,Card,5407.68
58,Card,0.0
59,Net Banking,0.0
60,Card,15012.960000000001
61,Card,0.0
62,COD,0.0
63,COD,1911.0300000000002
64,Card,1794.84
65,Net Banking,26180.420000000002
66,UPI,0.0
67,Card,0.0
68,Net Banking,2438.76
69,Card,5432.32
70,Card,501.53
71,Card,1098.99
72,Card,12693.65
73,Card,22211.620000000003
74,UPI,15931.375
75,COD,1001.8399999999999
76,Card,3243.065
77,COD,0.0
78,Card,4318.3
79,UPI,0.0
80,Net Banking,18284.239999999998
81,UPI,0.0
82,UPI,26018.34
83,COD,5624.88
84,Card,19031.04
85,Net Banking,5434.485
86,Net Banking,0.0
87,UPI,0.0
88,Card,14545.61
89,Net Banking,12096.19
90,UPI,14693.235
91,Card,8007.89
92,Card,4301.15
93,Net Banking,6567.370000000001
94,Card,0.0
95,Net Banking,8337.41
96,Net Banking,29920.3
97,UPI,5359.875
98,Card,0.0
99,UPI,2045.24
100,Net Banking,0.0
101,UPI,8000.655
102,UPI,20364.7
103,Net Banking,0.0
104,Card,1614.6
105,Card,7879.49
106,Card,5242.099999999999
107,Net Banking,2547.505
108,Net Banking,0.0
109,Card,9802.925
110,Card,6592.445000000001
111,Card,3649.73
112,Net Banking,10150.91
113,Net Banking,0.0
114,UPI,6778.285
115,COD,13417.79
116,UPI,3163.33
117,Net Banking,5653.22
118,COD,13140.925
119,Card,16373.400000000001
120,Card,6469.995
121,Net Banking,9085.535
122,COD,19224.85
123,Card,0.0
124,Card,13755.96
125,UPI,0.0
126,Net Banking,0.0
127,UPI,0.0
128,UPI,17258.98
129,Net Banking,12011.439999999999
130,Card,5527.01
131,COD,0.0
132,Net Banking,0.0
133,Card,37872.34
134,UPI,14555.52
135,COD,10273.265
136,UPI,7153.42
137,Card,9065.695
138,UPI,4155.975
139,Net Banking,16595.88
140,COD,15246.085000000001
141,Card,0.0
142,Net Banking,29421.71
143,Card,14875.41
144,UPI,12679.275
145,Card,0.0
146,UPI,24860.78
147,COD,13205.405
148,COD,4733.370000000001
149,UPI,14064.44
150,Card,4168.27
151,UPI,18265.64
152,Card,17743.36
153,COD,0.0
154,UPI,14941.01
155,Card,11265.740000000002
156,UPI,12171.61
157,COD,8289.14
158,UPI,6944.465
159,Net Banking,20795.29
160,UPI,5667.595
161,Net Banking,0.0
162,Net Banking,0.0
163,COD,2977.48
164,COD,0.0
165,COD,17391.21
166,COD,10709.865
167,Net Banking,0.0
168,Net Banking,0.0
169,Card,0.0
170,UPI,16650.85
171,Card,3386.71
172,Net Banking,18355.379999999997
173,COD,0.0
174,COD,4587.76
175,Net Banking,0.0
176,Net Banking,0.0
177,UPI,0.0
178,UPI,0.0
179,Card,0.0
180,Net Banking,10275.36
181,UPI,0.0
182,Card,13135.75
183,COD,12676.01
184,COD,4940.59
185,Card,8970.88
186,Card,4387.605
187,Net Banking,0.0
188,Net Banking,8891.72
189,COD,0.0
190,Net Banking,16395.82
191,UPI,10686.89
192,Card,7288.88
