product_id,product_name,category,price,cost_price,brand
1,Tax,Clothing,1571.14,916.31,Ward Group
2,Beat,Home,162.86,1777.38,Anderson Inc
3,Term,Beauty,1407.01,198.86,Johnson-Brown
4,Chance,Beauty,4485.44,999.86,Garcia Inc
5,Always,Sports,4696.11,1271.06,"Martinez, Meyer and Jackson"
6,Partner,Sports,905.68,1367.54,Lyons LLC
7,Value,Clothing,2977.47,2019.28,Cruz-Lewis
8,Thus,Beauty,1531.1,1813.88,Young-Jackson
9,Memory,Electronics,2541.75,2189.27,Fernandez and Sons
10,Keep,Electronics,4384.24,990.52,"Wilson, Mitchell and Sweeney"
11,Land,Beauty,4126.24,395.18,Jones-Ray
12,Short,Sports,1645.78,114.57,"Terrell, Huber and Castro"
13,Produce,Sports,3075.58,335.92,"Vasquez, Morrison and Armstrong"
14,Southern,Sports,4246.91,716.94,Mendoza LLC
15,Show,Clothing,2876.77,1850.86,"Salinas, Garrett and Alvarez"
16,Year,Electronics,3952.33,1358.44,Mosley Inc
17,Audience,Clothing,2227.3,1229.74,Scott PLC
18,Office,Home,534.95,183.9,Mitchell Inc
19,Sit,Electronics,175.58,557.3,Thomas and Sons
20,Rich,Home,670.4,1611.63,Fischer-Carter
21,Area,Electronics,2599.67,1627.85,Hurst-Brock
22,Analysis,Home,3109.21,1998.84,Simpson-Lopez
23,Man,Sports,4414.98,111.62,Browning-Sheppard
24,Certainly,Sports,4661.82,2236.59,Bishop Ltd
25,Rather,Clothing,2807.38,2018.35,"James, Berry and Snyder"
26,Put,Electronics,1802.56,2580.47,Hoover Inc
27,Top,Home,4687.97,1500.39,Davis-Cummings
28,Local,Beauty,626.91,1973.52,James LLC
29,I,Home,708.63,159.27,Ochoa Inc
30,Local,Clothing,4638.28,940.47,Williams-Gonzalez
31,Wear,Electronics,3542.58,1495.29,Jenkins PLC
32,Challenge,Electronics,3229.2,1270.31,Allen Group
33,Although,Electronics,1950.06,2477.14,Price-Stewart
34,Mrs,Clothing,3132.01,1640.17,Hernandez-Mcintyre
35,Commercial,Beauty,147.11,2112.97,"Soto, Miller and Bennett"
36,Water,Electronics,649.16,888.4,Mendez LLC
37,Few,Beauty,3070.15,2424.48,"Davis, Osborn and Vazquez"
38,Value,Home,1830.1,1502.43,"Jenkins, Wiggins and Haney"
39,Prove,Sports,1788.8,648.96,Whitaker-Grimes
40,Over,Sports,1192.17,1714.67,"Collins, Hurst and Smith"
41,Old,Home,4424.05,2565.44,Richmond PLC
42,Only,Sports,1883.45,1993.93,Decker-Bishop
43,This,Clothing,241.69,1812.02,"Lloyd, Gallagher and Donovan"
44,Church,Sports,3885.07,2774.18,"Horne, Johnson and Hall"
45,Level,Sports,2210.75,2961.54,"Walker, Ray and Sandoval"
46,Tax,Beauty,3061.47,185.02,Nunez-Garrison
