seller_id,seller_name,city
1,Flores and Sons,Scottside
2,"Bryan, Hicks and Singh",Kellychester
3,Schmidt PLC,Mooremouth
4,"Rojas, Thompson and Williams",Leonardstad
5,Jackson-Rodriguez,Robertsmouth
6,Johnson-Young,Port Nicolemouth
7,Harvey and Sons,Port Matthewchester
8,Horton-Anderson,Port Kimberlyborough
9,"Montgomery, Bauer and Munoz",Williamsberg
10,Goodman Inc,Kevinbury
11,"Flores, Jordan and Scott",Tammyfurt
12,Roth-Ruiz,Wiseport
13,Freeman-Ballard,Collinschester
14,Meyer-Shields,Hoffmanstad
15,Reed-Mathis,Albertfurt
16,"Cardenas, Griffin and Jones",Lindsaytown
17,Blevins-Nielsen,South Devinborough
18,Wright LLC,Christophermouth
19,"Mendoza, Moran and Klein",West Christina
20,Park Ltd,Kathrynview
21,Williams Ltd,East Brian
22,Hebert LLC,New Monica
23,Berry Group,Sextonborough
24,Maxwell-Mendoza,Port Amyside
25,"Stewart, Macias and Carpenter",West Lindashire
26,Brown-Ramirez,Dorothyview
27,Ferguson-Holloway,Mcclainmouth
28,Rojas-Harris,East Breanna
29,Washington-Rosario,Armstrongfurt
30,"Reilly, Baxter and Parker",Lake Steven
31,Novak-White,Danielland
32,Hays-Brock,Port Ashley
33,"Shepherd, Fuentes and Kelly",Ronaldchester
34,"Bass, Johnson and Leach",Crosbyburgh
35,Williams Inc,Lake Samantha
36,Michael-Finley,North Kimton
37,Tate-Brown,Malloryland
38,"Hudson, Ward and Wilson",Staceyfort
39,"Winters, Bell and Mahoney",West Seanland
40,Griffin-Smith,Wilsonstad
41,Smith-Young,Port Ashley
42,Blanchard Ltd,New Robertview
43,Smith PLC,Hartside
44,Payne LLC,Loritown
45,Lopez Inc,Hallfurt
46,"Fowler, Glass and Charles",Loriview
47,Mendoza-Franklin,West Neilberg
48,"Stewart, Howard and Harris",Leahton
49,Williamson-Parsons,Andreamouth
50,"Long, Cox and Mullins",Diaztown
51,"Miller, Anderson and Stout",New Kimberly
52,Simmons-Ruiz,Walkerbury
53,Gray Inc,Lake Elizabeth
54,"Alvarez, Doyle and George",New Dennisville
55,Neal and Sons,North Willieton
56,Lopez-Johnson,Lake Phyllisview
57,Cole-Barrett,Yvonneville
58,Evans-Mitchell,Joshuaville
59,James-Rice,Watsonberg
60,"Ramirez, Morris and Bradshaw",Mcgeefort
61,Brock-White,West Sean
62,Kaufman-Padilla,Port Anna
63,Miller Group,Lake Nicholaschester
64,"Mills, Thomas and Sanchez",Port Williammouth
65,Smith-Clark,Karenberg
66,Schultz Group,Duranton
67,"Thompson, Scott and Mcintyre",Jeffreyland
68,"Lee, Miller and Moore",Mosleyburgh
69,Gonzalez-Esparza,Port Christianchester
70,Tapia-Erickson,Owensport
